experiment_id,best_cost,dt,assignment,edges
0,8.981054226000229,0.35219717025756836,"[(0, 62), (0, 63), (1, 39), (1, 41), (2, 40), (2, 41), (3, 49), (3, 58), (4, 56), (4, 57), (5, 36), (5, 43), (6, 49), (6, 51), (7, 43), (7, 47), (8, 60), (8, 61), (9, 52), (9, 54), (10, 34), (10, 48), (11, 48), (11, 63), (12, 35), (12, 65), (13, 37), (13, 45), (14, 59), (14, 64), (15, 42), (15, 45), (16, 34), (16, 36), (17, 33), (17, 44), (18, 53), (18, 55), (19, 44), (19, 60), (20, 38), (20, 40), (21, 37), (21, 39), (22, 54), (22, 56), (23, 50), (23, 52), (24, 46), (24, 47), (25, 59), (25, 62), (26, 50), (26, 64), (27, 38), (27, 46), (28, 51), (28, 53), (29, 35), (29, 42), (30, 58), (30, 61), (31, 55), (31, 57), (32, 33), (32, 65)]","[(0, 62), (1, 39), (2, 40), (2, 41), (3, 49), (5, 43), (6, 51), (7, 43), (7, 47), (8, 60), (9, 52), (10, 34), (11, 48), (11, 63), (13, 45), (14, 59), (15, 42), (16, 36), (17, 33), (18, 53), (19, 44), (19, 60), (21, 37), (21, 39), (22, 54), (22, 56), (23, 50), (23, 52), (24, 46), (24, 47), (25, 62), (26, 64), (27, 38), (27, 46), (28, 53), (29, 42), (31, 57), (32, 33), (34, 16), (35, 12), (35, 29), (36, 5), (37, 13), (38, 20), (40, 20), (41, 1), (44, 17), (45, 15), (48, 10), (49, 6), (50, 26), (51, 28), (54, 9), (55, 18), (55, 31), (56, 4), (57, 4), (58, 3), (58, 30), (59, 25), (61, 8), (61, 30), (63, 0), (64, 14), (65, 12), (65, 32)]"
1,11.131453896764299,0.07908105850219727,"[(0, 38), (0, 40), (1, 49), (1, 53), (2, 42), (2, 45), (3, 36), (3, 38), (4, 35), (4, 42), (5, 49), (5, 51), (6, 43), (6, 48), (7, 46), (7, 47), (8, 56), (8, 57), (9, 33), (9, 44), (10, 53), (10, 55), (11, 34), (11, 36), (12, 48), (12, 64), (13, 37), (13, 39), (14, 55), (14, 57), (15, 62), (15, 63), (16, 39), (16, 41), (17, 37), (17, 46), (18, 44), (18, 60), (19, 50), (19, 52), (20, 51), (20, 58), (21, 45), (21, 61), (22, 52), (22, 54), (23, 54), (23, 56), (24, 59), (24, 63), (25, 34), (25, 43), (26, 40), (26, 41), (27, 58), (27, 60), (28, 47), (28, 59), (29, 50), (29, 64), (30, 35), (30, 65), (31, 61), (31, 62), (32, 33), (32, 65)]","[(0, 40), (1, 53), (2, 42), (3, 38), (4, 35), (4, 42), (5, 49), (8, 57), (9, 33), (10, 53), (10, 55), (11, 36), (13, 37), (15, 62), (16, 39), (16, 41), (17, 46), (18, 60), (19, 50), (19, 52), (20, 51), (21, 61), (22, 52), (24, 63), (25, 34), (25, 43), (27, 58), (27, 60), (28, 59), (30, 35), (31, 62), (32, 33), (34, 11), (36, 3), (37, 17), (38, 0), (39, 13), (40, 26), (41, 26), (43, 6), (44, 9), (44, 18), (45, 2), (45, 21), (46, 7), (47, 7), (47, 28), (48, 6), (48, 12), (49, 1), (50, 29), (51, 5), (54, 22), (54, 23), (55, 14), (56, 8), (56, 23), (57, 14), (58, 20), (59, 24), (61, 31), (63, 15), (64, 12), (64, 29), (65, 30), (65, 32)]"
2,12.543068722120521,0.2851259708404541,"[(0, 50), (0, 62), (1, 43), (1, 47), (2, 61), (2, 62), (3, 35), (3, 41), (4, 48), (4, 64), (5, 43), (5, 48), (6, 55), (6, 57), (7, 37), (7, 39), (8, 49), (8, 51), (9, 33), (9, 35), (10, 53), (10, 55), (11, 39), (11, 40), (12, 49), (12, 60), (13, 44), (13, 65), (14, 42), (14, 45), (15, 52), (15, 54), (16, 45), (16, 61), (17, 34), (17, 38), (18, 56), (18, 57), (19, 46), (19, 59), (20, 59), (20, 63), (21, 50), (21, 64), (22, 52), (22, 63), (23, 51), (23, 58), (24, 37), (24, 41), (25, 53), (25, 58), (26, 46), (26, 47), (27, 38), (27, 40), (28, 36), (28, 42), (29, 44), (29, 60), (30, 54), (30, 56), (31, 34), (31, 36), (32, 33), (32, 65)]","[(0, 50), (2, 62), (3, 41), (4, 48), (4, 64), (5, 48), (6, 57), (7, 37), (8, 49), (8, 51), (9, 35), (10, 53), (10, 55), (12, 49), (12, 60), (13, 44), (14, 42), (14, 45), (16, 45), (16, 61), (18, 56), (18, 57), (19, 46), (19, 59), (20, 59), (21, 50), (21, 64), (24, 37), (25, 53), (25, 58), (28, 42), (29, 44), (29, 60), (30, 54), (31, 34), (32, 65), (33, 9), (33, 32), (34, 17), (35, 3), (36, 28), (36, 31), (38, 17), (38, 27), (39, 7), (39, 11), (40, 11), (40, 27), (41, 24), (43, 1), (43, 5), (46, 26), (47, 1), (47, 26), (51, 23), (52, 15), (52, 22), (54, 15), (55, 6), (56, 30), (58, 23), (61, 2), (62, 0), (63, 20), (63, 22), (65, 13)]"
3,10.623547277449664,0.06169605255126953,"[(0, 42), (0, 65), (1, 57), (1, 62), (2, 56), (2, 59), (3, 58), (3, 61), (4, 50), (4, 64), (5, 33), (5, 35), (6, 54), (6, 56), (7, 35), (7, 37), (8, 46), (8, 63), (9, 38), (9, 40), (10, 50), (10, 52), (11, 49), (11, 51), (12, 55), (12, 57), (13, 39), (13, 41), (14, 43), (14, 47), (15, 44), (15, 45), (16, 44), (16, 61), (17, 36), (17, 43), (18, 40), (18, 41), (19, 59), (19, 63), (20, 42), (20, 45), (21, 49), (21, 60), (22, 51), (22, 53), (23, 37), (23, 39), (24, 52), (24, 54), (25, 47), (25, 48), (26, 58), (26, 60), (27, 34), (27, 36), (28, 34), (28, 38), (29, 48), (29, 64), (30, 53), (30, 55), (31, 46), (31, 62), (32, 33), (32, 65)]","[(0, 42), (0, 65), (2, 59), (3, 58), (4, 50), (4, 64), (5, 33), (5, 35), (6, 54), (6, 56), (8, 46), (8, 63), (10, 50), (11, 49), (11, 51), (12, 55), (12, 57), (15, 44), (17, 36), (17, 43), (20, 42), (21, 49), (21, 60), (22, 51), (22, 53), (24, 54), (25, 47), (26, 60), (27, 36), (28, 38), (32, 33), (34, 27), (34, 28), (35, 7), (37, 7), (37, 23), (38, 9), (39, 13), (39, 23), (40, 9), (40, 18), (41, 13), (41, 18), (43, 14), (44, 16), (45, 15), (45, 20), (46, 31), (47, 14), (48, 25), (48, 29), (52, 10), (52, 24), (53, 30), (55, 30), (56, 2), (57, 1), (58, 26), (59, 19), (61, 3), (61, 16), (62, 1), (62, 31), (63, 19), (64, 29), (65, 32)]"
4,10.940212309830663,0.26966309547424316,"[(0, 35), (0, 65), (1, 35), (1, 42), (2, 52), (2, 54), (3, 44), (3, 60), (4, 53), (4, 61), (5, 36), (5, 38), (6, 33), (6, 44), (7, 53), (7, 55), (8, 59), (8, 64), (9, 50), (9, 64), (10, 43), (10, 48), (11, 37), (11, 39), (12, 51), (12, 60), (13, 43), (13, 47), (14, 58), (14, 61), (15, 49), (15, 51), (16, 34), (16, 48), (17, 37), (17, 45), (18, 49), (18, 58), (19, 34), (19, 36), (20, 38), (20, 40), (21, 46), (21, 62), (22, 56), (22, 57), (23, 46), (23, 47), (24, 59), (24, 63), (25, 39), (25, 41), (26, 54), (26, 56), (27, 50), (27, 52), (28, 55), (28, 57), (29, 40), (29, 41), (30, 42), (30, 45), (31, 62), (31, 63), (32, 33), (32, 65)]","[(0, 35), (0, 65), (1, 35), (2, 52), (3, 60), (5, 38), (7, 53), (8, 59), (8, 64), (10, 43), (10, 48), (11, 39), (12, 51), (12, 60), (13, 43), (13, 47), (14, 58), (16, 48), (17, 45), (18, 49), (19, 36), (20, 40), (22, 56), (23, 47), (25, 41), (26, 54), (27, 52), (28, 55), (29, 41), (31, 63), (33, 6), (33, 32), (34, 16), (34, 19), (36, 5), (37, 11), (37, 17), (38, 20), (39, 25), (40, 29), (42, 1), (42, 30), (44, 3), (44, 6), (45, 30), (46, 21), (46, 23), (49, 15), (50, 9), (50, 27), (51, 15), (53, 4), (54, 2), (55, 7), (56, 26), (57, 22), (57, 28), (58, 18), (59, 24), (61, 4), (61, 14), (62, 21), (62, 31), (63, 24), (64, 9), (65, 32)]"
5,8.599798251153342,0.3594489097595215,"[(0, 49), (0, 51), (1, 58), (1, 61), (2, 50), (2, 54), (3, 45), (3, 60), (4, 40), (4, 47), (5, 34), (5, 36), (6, 62), (6, 63), (7, 55), (7, 57), (8, 36), (8, 38), (9, 52), (9, 59), (10, 40), (10, 41), (11, 59), (11, 64), (12, 49), (12, 55), (13, 47), (13, 63), (14, 34), (14, 43), (15, 48), (15, 64), (16, 38), (16, 46), (17, 56), (17, 57), (18, 42), (18, 44), (19, 54), (19, 56), (20, 35), (20, 65), (21, 45), (21, 46), (22, 43), (22, 48), (23, 33), (23, 42), (24, 53), (24, 58), (25, 37), (25, 39), (26, 39), (26, 41), (27, 44), (27, 60), (28, 61), (28, 62), (29, 51), (29, 53), (30, 50), (30, 52), (31, 35), (31, 37), (32, 33), (32, 65)]","[(0, 49), (0, 51), (1, 61), (2, 50), (2, 54), (3, 45), (3, 60), (4, 40), (4, 47), (6, 63), (7, 55), (8, 36), (8, 38), (9, 52), (9, 59), (11, 59), (11, 64), (12, 49), (12, 55), (13, 47), (13, 63), (14, 34), (14, 43), (15, 48), (16, 46), (17, 57), (19, 54), (21, 45), (21, 46), (23, 33), (25, 39), (26, 39), (26, 41), (27, 60), (28, 61), (28, 62), (29, 51), (29, 53), (30, 50), (30, 52), (31, 37), (32, 33), (34, 5), (35, 20), (35, 31), (36, 5), (37, 25), (38, 16), (40, 10), (41, 10), (42, 18), (42, 23), (43, 22), (44, 18), (44, 27), (48, 22), (53, 24), (56, 17), (56, 19), (57, 7), (58, 1), (58, 24), (62, 6), (64, 15), (65, 20), (65, 32)]"
6,10.821717097955691,0.10507798194885254,"[(0, 55), (0, 61), (1, 37), (1, 42), (2, 43), (2, 47), (3, 46), (3, 62), (4, 56), (4, 63), (5, 50), (5, 52), (6, 44), (6, 60), (7, 34), (7, 36), (8, 53), (8, 55), (9, 56), (9, 57), (10, 49), (10, 53), (11, 48), (11, 64), (12, 40), (12, 41), (13, 33), (13, 35), (14, 49), (14, 51), (15, 51), (15, 58), (16, 57), (16, 62), (17, 58), (17, 60), (18, 39), (18, 42), (19, 35), (19, 37), (20, 39), (20, 41), (21, 54), (21, 63), (22, 45), (22, 46), (23, 45), (23, 61), (24, 54), (24, 59), (25, 38), (25, 47), (26, 38), (26, 40), (27, 50), (27, 64), (28, 52), (28, 59), (29, 44), (29, 65), (30, 34), (30, 48), (31, 36), (31, 43), (32, 33), (32, 65)]","[(0, 55), (1, 37), (3, 46), (6, 44), (6, 60), (8, 53), (10, 53), (11, 48), (14, 49), (15, 51), (15, 58), (17, 60), (20, 39), (20, 41), (21, 54), (21, 63), (22, 46), (23, 45), (23, 61), (24, 54), (24, 59), (25, 38), (25, 47), (26, 38), (27, 64), (29, 65), (30, 34), (31, 36), (31, 43), (33, 13), (33, 32), (34, 7), (35, 13), (35, 19), (36, 7), (37, 19), (39, 18), (40, 12), (40, 26), (41, 12), (42, 1), (42, 18), (43, 2), (44, 29), (45, 22), (47, 2), (48, 30), (49, 10), (50, 5), (50, 27), (51, 14), (52, 5), (52, 28), (55, 8), (56, 4), (56, 9), (57, 9), (57, 16), (58, 17), (59, 28), (61, 0), (62, 3), (62, 16), (63, 4), (64, 11), (65, 32)]"
7,9.305441410714929,0.6132960319519043,"[(0, 49), (0, 60), (1, 38), (1, 40), (2, 55), (2, 57), (3, 39), (3, 41), (4, 35), (4, 37), (5, 43), (5, 48), (6, 63), (6, 64), (7, 50), (7, 59), (8, 40), (8, 41), (9, 34), (9, 48), (10, 46), (10, 62), (11, 43), (11, 47), (12, 54), (12, 56), (13, 34), (13, 36), (14, 33), (14, 44), (15, 42), (15, 44), (16, 49), (16, 51), (17, 50), (17, 52), (18, 56), (18, 57), (19, 62), (19, 63), (20, 37), (20, 39), (21, 46), (21, 47), (22, 51), (22, 53), (23, 42), (23, 45), (24, 59), (24, 64), (25, 45), (25, 61), (26, 36), (26, 38), (27, 58), (27, 61), (28, 53), (28, 55), (29, 35), (29, 65), (30, 58), (30, 60), (31, 52), (31, 54), (32, 33), (32, 65)]","[(0, 49), (0, 60), (2, 55), (6, 63), (7, 59), (8, 40), (9, 34), (9, 48), (10, 46), (14, 44), (17, 50), (18, 56), (19, 62), (22, 51), (23, 45), (24, 64), (25, 45), (28, 53), (28, 55), (29, 65), (30, 58), (30, 60), (31, 52), (31, 54), (32, 33), (33, 14), (34, 13), (35, 4), (35, 29), (36, 13), (36, 26), (37, 4), (37, 20), (38, 1), (38, 26), (39, 3), (39, 20), (40, 1), (41, 3), (41, 8), (42, 15), (42, 23), (43, 5), (43, 11), (44, 15), (46, 21), (47, 11), (47, 21), (48, 5), (49, 16), (50, 7), (51, 16), (52, 17), (53, 22), (54, 12), (56, 12), (57, 2), (57, 18), (58, 27), (59, 24), (61, 25), (61, 27), (62, 10), (63, 19), (64, 6), (65, 32)]"
8,10.695111092710503,0.3496730327606201,"[(0, 55), (0, 58), (1, 51), (1, 53), (2, 50), (2, 52), (3, 40), (3, 41), (4, 61), (4, 62), (5, 42), (5, 44), (6, 54), (6, 56), (7, 56), (7, 57), (8, 36), (8, 46), (9, 53), (9, 57), (10, 52), (10, 63), (11, 45), (11, 62), (12, 38), (12, 40), (13, 44), (13, 60), (14, 45), (14, 63), (15, 34), (15, 38), (16, 54), (16, 55), (17, 37), (17, 39), (18, 34), (18, 36), (19, 39), (19, 41), (20, 49), (20, 60), (21, 35), (21, 37), (22, 33), (22, 42), (23, 48), (23, 64), (24, 59), (24, 64), (25, 58), (25, 61), (26, 49), (26, 51), (27, 43), (27, 48), (28, 46), (28, 47), (29, 50), (29, 59), (30, 43), (30, 47), (31, 33), (31, 65), (32, 35), (32, 65)]","[(0, 55), (0, 58), (1, 51), (2, 50), (3, 40), (4, 62), (5, 44), (6, 56), (7, 56), (8, 36), (8, 46), (10, 52), (11, 62), (12, 38), (13, 44), (13, 60), (14, 63), (16, 55), (17, 37), (22, 42), (24, 59), (25, 58), (26, 49), (27, 43), (29, 50), (30, 47), (32, 35), (32, 65), (33, 22), (33, 31), (34, 15), (34, 18), (35, 21), (36, 18), (37, 21), (38, 15), (39, 17), (39, 19), (40, 12), (41, 3), (41, 19), (42, 5), (43, 30), (45, 11), (45, 14), (46, 28), (47, 28), (48, 23), (48, 27), (49, 20), (51, 26), (52, 2), (53, 1), (53, 9), (54, 6), (54, 16), (57, 7), (57, 9), (59, 29), (60, 20), (61, 4), (61, 25), (63, 10), (64, 23), (64, 24), (65, 31)]"
9,11.408330591248404,0.09308385848999023,"[(0, 44), (0, 60), (1, 35), (1, 42), (2, 59), (2, 64), (3, 53), (3, 62), (4, 35), (4, 65), (5, 34), (5, 36), (6, 40), (6, 41), (7, 49), (7, 58), (8, 47), (8, 63), (9, 37), (9, 45), (10, 49), (10, 60), (11, 54), (11, 56), (12, 53), (12, 55), (13, 58), (13, 61), (14, 39), (14, 41), (15, 38), (15, 40), (16, 42), (16, 44), (17, 52), (17, 64), (18, 50), (18, 52), (19, 56), (19, 57), (20, 59), (20, 63), (21, 50), (21, 54), (22, 57), (22, 62), (23, 34), (23, 48), (24, 36), (24, 38), (25, 39), (25, 46), (26, 43), (26, 48), (27, 51), (27, 61), (28, 33), (28, 37), (29, 43), (29, 47), (30, 45), (30, 46), (31, 51), (31, 55), (32, 33), (32, 65)]","[(0, 44), (1, 35), (2, 59), (3, 53), (3, 62), (4, 35), (4, 65), (5, 34), (6, 41), (8, 47), (8, 63), (9, 37), (9, 45), (10, 49), (11, 54), (11, 56), (13, 61), (14, 39), (14, 41), (15, 38), (16, 42), (17, 52), (18, 52), (19, 56), (20, 59), (20, 63), (21, 54), (22, 62), (25, 39), (25, 46), (26, 43), (26, 48), (27, 61), (28, 37), (29, 47), (30, 45), (30, 46), (31, 51), (33, 28), (33, 32), (34, 23), (36, 5), (36, 24), (38, 24), (40, 6), (40, 15), (42, 1), (43, 29), (44, 16), (48, 23), (49, 7), (50, 18), (50, 21), (51, 27), (53, 12), (55, 12), (55, 31), (57, 19), (57, 22), (58, 7), (58, 13), (60, 0), (60, 10), (64, 2), (64, 17), (65, 32)]"
