experiment_id,best_cost,dt,edges
0,8.98105422600023,0.17491912841796875,"[(0, 62), (0, 63), (1, 39), (1, 41), (2, 40), (2, 41), (3, 49), (3, 58), (4, 56), (4, 57), (5, 36), (5, 43), (6, 49), (6, 51), (7, 43), (7, 47), (8, 60), (8, 61), (9, 52), (9, 54), (10, 34), (10, 48), (11, 48), (11, 63), (12, 35), (12, 65), (13, 37), (13, 45), (14, 59), (14, 64), (15, 42), (15, 45), (16, 34), (16, 36), (17, 33), (17, 44), (18, 53), (18, 55), (19, 44), (19, 60), (20, 38), (20, 40), (21, 37), (21, 39), (22, 54), (22, 56), (23, 50), (23, 52), (24, 46), (24, 47), (25, 59), (25, 62), (26, 50), (26, 64), (27, 38), (27, 46), (28, 51), (28, 53), (29, 35), (29, 42), (30, 58), (30, 61), (31, 55), (31, 57), (32, 33), (32, 65)]"
1,11.131453896764299,0.018395185470581055,"[(0, 38), (0, 40), (1, 49), (1, 53), (2, 42), (2, 45), (3, 36), (3, 38), (4, 35), (4, 42), (5, 49), (5, 51), (6, 43), (6, 48), (7, 46), (7, 47), (8, 56), (8, 57), (9, 33), (9, 44), (10, 53), (10, 55), (11, 34), (11, 36), (12, 48), (12, 64), (13, 37), (13, 39), (14, 55), (14, 57), (15, 62), (15, 63), (16, 39), (16, 41), (17, 37), (17, 46), (18, 44), (18, 60), (19, 50), (19, 52), (20, 51), (20, 58), (21, 45), (21, 61), (22, 52), (22, 54), (23, 54), (23, 56), (24, 59), (24, 63), (25, 34), (25, 43), (26, 40), (26, 41), (27, 58), (27, 60), (28, 47), (28, 59), (29, 50), (29, 64), (30, 35), (30, 65), (31, 61), (31, 62), (32, 33), (32, 65)]"
2,12.54306872212052,0.2018129825592041,"[(0, 50), (0, 62), (1, 43), (1, 47), (2, 61), (2, 62), (3, 35), (3, 41), (4, 48), (4, 64), (5, 43), (5, 48), (6, 55), (6, 57), (7, 37), (7, 39), (8, 49), (8, 51), (9, 33), (9, 35), (10, 53), (10, 55), (11, 39), (11, 40), (12, 49), (12, 60), (13, 44), (13, 65), (14, 42), (14, 45), (15, 52), (15, 54), (16, 45), (16, 61), (17, 34), (17, 38), (18, 56), (18, 57), (19, 46), (19, 59), (20, 59), (20, 63), (21, 50), (21, 64), (22, 52), (22, 63), (23, 51), (23, 58), (24, 37), (24, 41), (25, 53), (25, 58), (26, 46), (26, 47), (27, 38), (27, 40), (28, 36), (28, 42), (29, 44), (29, 60), (30, 54), (30, 56), (31, 34), (31, 36), (32, 33), (32, 65)]"
3,10.623547277449665,0.019453048706054688,"[(0, 42), (0, 65), (1, 57), (1, 62), (2, 56), (2, 59), (3, 58), (3, 61), (4, 50), (4, 64), (5, 33), (5, 35), (6, 54), (6, 56), (7, 35), (7, 37), (8, 46), (8, 63), (9, 38), (9, 40), (10, 50), (10, 52), (11, 49), (11, 51), (12, 55), (12, 57), (13, 39), (13, 41), (14, 43), (14, 47), (15, 44), (15, 45), (16, 44), (16, 61), (17, 36), (17, 43), (18, 40), (18, 41), (19, 59), (19, 63), (20, 42), (20, 45), (21, 49), (21, 60), (22, 51), (22, 53), (23, 37), (23, 39), (24, 52), (24, 54), (25, 47), (25, 48), (26, 58), (26, 60), (27, 34), (27, 36), (28, 34), (28, 38), (29, 48), (29, 64), (30, 53), (30, 55), (31, 46), (31, 62), (32, 33), (32, 65)]"
4,10.940212309830663,0.04498910903930664,"[(0, 35), (0, 65), (1, 35), (1, 42), (2, 52), (2, 54), (3, 44), (3, 60), (4, 53), (4, 61), (5, 36), (5, 38), (6, 33), (6, 44), (7, 53), (7, 55), (8, 59), (8, 64), (9, 50), (9, 64), (10, 43), (10, 48), (11, 37), (11, 39), (12, 51), (12, 60), (13, 43), (13, 47), (14, 58), (14, 61), (15, 49), (15, 51), (16, 34), (16, 48), (17, 37), (17, 45), (18, 49), (18, 58), (19, 34), (19, 36), (20, 38), (20, 40), (21, 46), (21, 62), (22, 56), (22, 57), (23, 46), (23, 47), (24, 59), (24, 63), (25, 39), (25, 41), (26, 54), (26, 56), (27, 50), (27, 52), (28, 55), (28, 57), (29, 40), (29, 41), (30, 42), (30, 45), (31, 62), (31, 63), (32, 33), (32, 65)]"
5,8.599798251153342,0.061131954193115234,"[(0, 49), (0, 51), (1, 58), (1, 61), (2, 50), (2, 54), (3, 45), (3, 60), (4, 40), (4, 47), (5, 34), (5, 36), (6, 62), (6, 63), (7, 55), (7, 57), (8, 36), (8, 38), (9, 52), (9, 59), (10, 40), (10, 41), (11, 59), (11, 64), (12, 49), (12, 55), (13, 47), (13, 63), (14, 34), (14, 43), (15, 48), (15, 64), (16, 38), (16, 46), (17, 56), (17, 57), (18, 42), (18, 44), (19, 54), (19, 56), (20, 35), (20, 65), (21, 45), (21, 46), (22, 43), (22, 48), (23, 33), (23, 42), (24, 53), (24, 58), (25, 37), (25, 39), (26, 39), (26, 41), (27, 44), (27, 60), (28, 61), (28, 62), (29, 51), (29, 53), (30, 50), (30, 52), (31, 35), (31, 37), (32, 33), (32, 65)]"
6,10.82171709795569,0.014914989471435547,"[(0, 55), (0, 61), (1, 37), (1, 42), (2, 43), (2, 47), (3, 46), (3, 62), (4, 56), (4, 63), (5, 50), (5, 52), (6, 44), (6, 60), (7, 34), (7, 36), (8, 53), (8, 55), (9, 56), (9, 57), (10, 49), (10, 53), (11, 48), (11, 64), (12, 40), (12, 41), (13, 33), (13, 35), (14, 49), (14, 51), (15, 51), (15, 58), (16, 57), (16, 62), (17, 58), (17, 60), (18, 39), (18, 42), (19, 35), (19, 37), (20, 39), (20, 41), (21, 54), (21, 63), (22, 45), (22, 46), (23, 45), (23, 61), (24, 54), (24, 59), (25, 38), (25, 47), (26, 38), (26, 40), (27, 50), (27, 64), (28, 52), (28, 59), (29, 44), (29, 65), (30, 34), (30, 48), (31, 36), (31, 43), (32, 33), (32, 65)]"
7,9.305441410714929,0.11651802062988281,"[(0, 49), (0, 60), (1, 38), (1, 40), (2, 55), (2, 57), (3, 39), (3, 41), (4, 35), (4, 37), (5, 43), (5, 48), (6, 63), (6, 64), (7, 50), (7, 59), (8, 40), (8, 41), (9, 34), (9, 48), (10, 46), (10, 62), (11, 43), (11, 47), (12, 54), (12, 56), (13, 34), (13, 36), (14, 33), (14, 44), (15, 42), (15, 44), (16, 49), (16, 51), (17, 50), (17, 52), (18, 56), (18, 57), (19, 62), (19, 63), (20, 37), (20, 39), (21, 46), (21, 47), (22, 51), (22, 53), (23, 42), (23, 45), (24, 59), (24, 64), (25, 45), (25, 61), (26, 36), (26, 38), (27, 58), (27, 61), (28, 53), (28, 55), (29, 35), (29, 65), (30, 58), (30, 60), (31, 52), (31, 54), (32, 33), (32, 65)]"
8,10.695111092710503,0.07419800758361816,"[(0, 55), (0, 58), (1, 51), (1, 53), (2, 50), (2, 52), (3, 40), (3, 41), (4, 61), (4, 62), (5, 42), (5, 44), (6, 54), (6, 56), (7, 56), (7, 57), (8, 36), (8, 46), (9, 53), (9, 57), (10, 52), (10, 63), (11, 45), (11, 62), (12, 38), (12, 40), (13, 44), (13, 60), (14, 45), (14, 63), (15, 34), (15, 38), (16, 54), (16, 55), (17, 37), (17, 39), (18, 34), (18, 36), (19, 39), (19, 41), (20, 49), (20, 60), (21, 35), (21, 37), (22, 33), (22, 42), (23, 48), (23, 64), (24, 59), (24, 64), (25, 58), (25, 61), (26, 49), (26, 51), (27, 43), (27, 48), (28, 46), (28, 47), (29, 50), (29, 59), (30, 43), (30, 47), (31, 33), (31, 65), (32, 35), (32, 65)]"
9,11.408330591248404,0.03310704231262207,"[(0, 44), (0, 60), (1, 35), (1, 42), (2, 59), (2, 64), (3, 53), (3, 62), (4, 35), (4, 65), (5, 34), (5, 36), (6, 40), (6, 41), (7, 49), (7, 58), (8, 47), (8, 63), (9, 37), (9, 45), (10, 49), (10, 60), (11, 54), (11, 56), (12, 53), (12, 55), (13, 58), (13, 61), (14, 39), (14, 41), (15, 38), (15, 40), (16, 42), (16, 44), (17, 52), (17, 64), (18, 50), (18, 52), (19, 56), (19, 57), (20, 59), (20, 63), (21, 50), (21, 54), (22, 57), (22, 62), (23, 34), (23, 48), (24, 36), (24, 38), (25, 39), (25, 46), (26, 43), (26, 48), (27, 51), (27, 61), (28, 33), (28, 37), (29, 43), (29, 47), (30, 45), (30, 46), (31, 51), (31, 55), (32, 33), (32, 65)]"
10,10.507895847226633,0.021797895431518555,"[(0, 58), (0, 60), (1, 50), (1, 52), (2, 48), (2, 59), (3, 61), (3, 62), (4, 49), (4, 60), (5, 51), (5, 53), (6, 49), (6, 51), (7, 56), (7, 57), (8, 38), (8, 40), (9, 42), (9, 65), (10, 50), (10, 64), (11, 33), (11, 35), (12, 44), (12, 45), (13, 37), (13, 39), (14, 42), (14, 44), (15, 47), (15, 63), (16, 41), (16, 46), (17, 36), (17, 38), (18, 35), (18, 37), (19, 58), (19, 61), (20, 53), (20, 55), (21, 55), (21, 57), (22, 43), (22, 59), (23, 34), (23, 43), (24, 40), (24, 45), (25, 34), (25, 36), (26, 54), (26, 56), (27, 52), (27, 54), (28, 39), (28, 41), (29, 48), (29, 64), (30, 62), (30, 63), (31, 46), (31, 47), (32, 33), (32, 65)]"
